stationNum,latitude,longitude,depth
23228,20.764,65.284,2746
23226,20.200,67.333,
23225,18.630,67.180,3269
23223,17.333,89.483,
23219,13.472,88.8998,2942
23218,10.165,88.500,3329
23401,8.860,88.550,
23227,6.255,88.792,3793
23217,3.798,81.701,4004
23461,9.541,95.668,2500
56001,-14.046,110.028,5633
56003,-15.019,118.073,5658.5
52405,12.991,132.239,5804
52404,20.629,132.139,5940
21420,28.910,134.999,4877
55015,-46.956,160.343,4988.5
55042,-44.790,161.700,4816.6
55023,-14.715,153.537,4595
55012,-15.664,158.453,3254
52403,4.026,145.616,4540
52406,-5.373,164.990,1807
51425,-9.511,-176.258,4998
52402,11.930,153.895,5978
52401,19.285,155.739,5590
21413,30.514,152.123,5804
21D18,38.761,148.661,
21D20,28.891,135.022,
51407,19.630,-156.577,4778
21418,38.716,148.847,5672
21419,44.401,155.653,5325
21416,48.120,163.430,4066
21415,50.153,171.897,4805
21414,48.963,178.237,5463
46413,48.045,-173.897,5618
46408,49.666,-169.876,5363
46402,50.983,-163.943,4781
46403,52.663,-156.778,4522
46414,53.766,-152.416,4716
46409,55.318,-148.547,4230
46410,57.664,-143.734,3772
46415,53.037,-139.880,3607
46416,49.939,-134.427,3450
46D16,49.901,-134.395,
46419,48.816,-129.614,2815
46404,45.873,-128.757,2779
46407,42.715,-128.825,3318
46411,39.335,-127.070,4328
44403,41.910,-61.643,4059
44402,39.314,-70.563,2653
41425,28.667,-65.623,5240
41421,23.373,-63.902,5810
41420,23.375,-67.345,5740
42407,15.267,-68.213,4510
42409,25.797,-89.288,3220
43412,16.003,-106.989,3121
43413,10.949,-100.030,3440
32411,4.973,-90.790,3262
32489,2.998,-79.101,2763
32068,-.888,-81.664,1592
32069,.255,-81.211,2259
32413,-7.435,-93.442,3955
32401,-20.474,-73.421,4830
32403,-23.163,-72.037,4235
32402,-26.743,-73.983,4070
32404,-32.123,-73.799,4204
34420,-35.758,-75.243,

